time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
182.5,119.16183454168072,26.067431415513806,1.259083047691336,-7.056201574442174,0.7836475901569755,-0.4255080342114862,180.48855666750524,70.0,32.38343196661991,-0.5651975109130999,-0.1231539501584237,0.0,-32.38343196661991,89.93360503716394,-15.11963895871304
183.0,119.1618334050958,26.06743259490425,1.2594070770338304,-2.836284303357244,0.831081879924352,-0.630999641958827,4.42055131487108,70.0,32.649352402006954,-0.5698386980589406,-0.04950249961621757,0.0,-32.649352402006954,90.06775475805625,-15.22962295304751
183.5,119.16183331041577,26.0674330343766,1.2576591950688338,0.10265220110547399,0.806930623180456,-0.6947957981725944,8.047137617487452,70.0,32.381929527223704,-0.5651712883988245,0.0017916188937098843,0.0,-32.381929527223704,90.11677143769339,-15.237669164023828
184.0,119.16182993516925,26.067438183296456,1.2531243406410633,6.103582769346432,0.8257624519784844,-0.541262014065657,11.890437302022965,70.0,32.06469314729959,-0.559634469062041,0.10652761549308887,0.0,-32.06469314729959,90.69774925662205,-15.558898160234094
184.5,119.16182807369026,26.067441609740587,1.2465082084604129,12.035070707321259,0.7916402222463527,-0.6062111688247773,15.514184618476941,70.0,31.74949658082079,-0.5541332511860048,0.21005160955307875,0.0,-31.74949658082079,91.08323585055768,-15.734140297805425
185.0,119.1618266235552,26.06744475288956,1.2466141304988825,17.879871989307052,0.7710161673823834,-0.7083467296792731,18.796847072791913,70.0,31.26070699000453,-0.5456022634767852,0.3120626360485164,0.0,-31.26070699000453,91.4360905494541,-15.869108547572978
185.5,119.16182599999988,26.06744670481654,1.244714274548177,20.48045880597619,0.7882416636192838,-0.5893706685614479,22.444655248777767,48.855504054623474,31.292220783586025,-0.5461522829345762,0.35745143848335104,0.0,-31.292220783586025,91.65439887577668,-15.92518158646999
186.0,119.16182589414359,26.067447911810103,1.233173455357349,22.993282162877286,0.8037605863339744,-0.5954811596538471,25.916496337681757,10.0,31.64046508119206,-0.5522302925290964,0.4013084795822917,0.0,-31.64046508119206,91.78856596676633,-15.931837646989152
186.5,119.161825,26.067450757501813,1.217390796977708,27.687800204855325,0.7736199245742531,-0.707867264705412,29.58735187938722,10.0,31.00349335899373,-0.5411130387346369,0.48324327620908586,0.0,-31.00349335899373,92.1067910543643,-16.012090437521692
187.0,119.161825,26.067453502169407,1.2000276974105824,31.525204917224805,0.7196941703482584,-0.4689892533619955,33.184341382848814,10.0,23.131703670560047,-0.4037243906469305,0.5502186231714793,0.0,-23.131703670560047,92.41117219952866,-16.003116226464044
187.5,119.16182500000002,26.067457244663082,1.1896757673684641,34.6608047212879,0.7968234414502128,-0.5700060337248554,36.2644277242077,10.0,6.633089983279042,-0.11576925978927491,0.6049451637772695,0.0,-6.633089983279042,92.82621135376394,-15.99087943189079
188.0,119.16182500000002,26.067459438114064,1.172831379868961,37.001144902233115,0.7599004562451486,-0.8774420523922195,38.88127678469077,10.0,-7.540590996968402,0.13160814044334038,0.6457918055514832,0.0,7.540590996968402,93.06946307746693,-15.9837075296673
188.5,119.161825,26.0674610657998,1.1568398775837787,39.14737785276063,0.7746403116541589,-0.10338014907767087,40.91251937379941,10.0,-19.043955992631314,0.3323797346763214,0.683250637052981,0.0,19.043955992631314,93.24997194996104,-15.978385504742619
189.0,119.16182540000003,26.067466135954184,1.134609416920663,41.111659156666654,0.781440836064795,-0.1238344816607766,42.176312315297636,10.0,-26.741301683505082,0.4667237606462663,0.7175338132415086,0.0,26.741301683505082,93.81106624612585,-15.921743723505642
189.5,119.16182529878503,26.067467349211704,1.1097941259206294,42.75132012709935,0.847709844667033,-0.7195994173731883,43.46876256831175,10.0,-27.402521334115743,0.4782642206283089,0.7461512957920042,0.0,27.402521334115743,93.94591429969296,-15.927914427476935
